English,Marathi
I want you back.,मला तुम्ही हवे आहात.
"I want you, Tom.","टॉम, मला तू हवा आहेस."
I was a soldier.,मी सैनिक होतो.
I was a soldier.,मी सैनिक होते.
I was a teacher.,मी शिक्षक होतो.
I was assaulted.,माझ्यावर हल्ला झाला.
I was at school.,मी शाळेत होतो.
I was at school.,मी शाळेत होते.
I was born here.,मी इथे जन्माला आलेलो.
I was born here.,मी इथे जन्माला आलेले.
I was in school.,मी शाळेत होतो.
I was in school.,मी शाळेत होते.
I was on a bike.,मी बाईकवर होतो.
I was on a bike.,मी बाईकवर होते.
I was surprised.,मी चकित झालो होतो.
I went by train.,मी ट्रेनने गेलो.
I went by train.,मी ट्रेनने गेले.
I went shopping.,मी खरेदी करायला गेलो.
I went shopping.,मी खरेदी करायला गेले.
I went to sleep.,मी झोपायला गेलो.
I went to sleep.,मी झोपायला गेले.
I will help you.,मी तुझी मदत करेन.
I will help you.,मी तुमची मदत करेन.
I will stop Tom.,मी टॉमला थांबवेन.
I won't do that.,मी ते करणार नाही.
I won't do that.,मी तसं करणार नाही.
I won't need it.,मला त्याची गरज लागणार नाही.
I won't need it.,त्याची गरज लागणार नाही.
I write stories.,मी गोष्टी लिहितो.
I write stories.,मी गोष्टी लिहिते.
I'd rather walk.,त्यापेक्षा मी चालेन.
I'd rather walk.,त्यापेक्षा मी चालत जाईन.
I'll be at home.,मी घरी असेन.
I'll be on time.,मी वेळेवर पोहोचेन.
I'll buy a Ford.,मी एक फोर्ड विकत घेईन.
I'll come by 10.,मी १० वाजेपर्यंत येईन.
I'll come by 10.,मी १० वाजेपर्यंत येतो.
I'll come by 10.,मी १० वाजेपर्यंत येते.
I'll go by taxi.,मी टॅक्सीने जाईन.
I'll notify you.,मी तुला कळवेन.
I'll notify you.,मी तुम्हाला कळवेन.
I'll understand.,मला समजेल.
I'll understand.,मी समजेन.
I'm Tom's uncle.,मी टॉमचा मामा आहे.
I'm Tom's uncle.,मी टॉमचा काका आहे.
I'm a bit tired.,मी थोडा थकलोय.
I'm a bit tired.,मी थोडी थकलेय.
I'm a city girl.,मी शहरी मुलगी आहे.
I'm a paramedic.,मी पॅरामेडिक आहे.
I'm a policeman.,मी पोलीस आहे.
I'm a secretary.,मी सेक्रेटरी आहे.
I'm a secretary.,मी एक सेक्रेटरी आहे.
I'm an engineer.,मी इंजिनियर आहे.
I'm back online.,मी परत ऑनलाइन आलो आहे.
I'm back online.,मी परत ऑनलाइन आले आहे.
I'm calling Tom.,मी टॉमला बोलवतोय.
I'm calling Tom.,मी टॉमला बोलवतेय.
I'm calling Tom.,मी टॉमला फोन करतोय.
I'm calling Tom.,मी टॉमला फोन करतेय.
I'm calling you.,मी तुला बोलवतोय.
I'm calling you.,मी तुला बोलवतेय.
I'm calling you.,मी तुम्हाला बोलवतोय.
I'm calling you.,मी तुम्हाला बोलवतेय.
I'm getting old.,मी म्हातारा होत चाललोय.
I'm getting old.,मी म्हातारी होत चाललेय.
I'm going to go.,मी जाणार आहे.
I'm in no hurry.,मला कसलीही घाई नाहीये.
I'm in the city.,मी शहरात आहे.
I'm just asking.,मी फक्त विचारतोय.
I'm just asking.,मी फक्त विचारतेय.
I'm leaving now.,मी आता जातोय.
I'm leaving now.,मी आता जातेय.
I'm not a saint.,मी काय संत नाहीये.
I'm not a thief.,मी चोर नाहीये.
I'm not a witch.,मी चेटकीण नाहीये.
I'm not arguing.,मी भांडत नाहीये.
I'm not violent.,मी हिंसक नाहीये.
I'm on the list.,मी यादीत आहे.
I'm on the roof.,मी छतावर आहे.
I'm on the roof.,मी टेरेसवर आहे.
I'm ready to go.,मी जायला तयार आहे.
I'm still alive.,मी अजूनही जिवंत आहे.
I'm still alone.,मी अजूनही एकटा आहे.
I'm still alone.,मी अजूनही एकटी आहे.
I'm the teacher.,शिक्षक मी आहे.
I'm the teacher.,शिक्षिका मी आहे.
I'm too ashamed.,मला खूपच लाज वाटतेय.
I'm very clever.,मी खूप हुशार आहे.
I'm very clever.,मी अतिशय हुशार आहे.
I'm very hungry.,मला खूप भूक लागली आहे.
I'm watching TV.,मी टीव्ही बघतोय.
I'm watching TV.,मी टीव्ही बघतेय.
I'm your friend.,मी तुझा मित्र आहे.
I'm your friend.,मी तुझी मैत्रिण आहे.
I'm your friend.,मी तुमचा मित्र आहे.
I'm your friend.,मी तुमची मैत्रिण आहे.
I'm your sister.,मी तुझी बहीण आहे.
I'm your sister.,मी तुमची बहीण आहे.
I'm your sister.,मी तुझी ताई आहे.
I'm your waiter.,मी तुमचा वेटर आहे.
I've got a book.,माझ्याकडे एक पुस्तक आहे.
I've gotten fat.,मी जाडा झालो आहे.
I've gotten fat.,मी जाडी झाले आहे.
I've had enough.,मला बस झालय.
I've had enough.,मला पुरेसं झालय.
Is Tom an actor?,टॉम अभिनेता आहे का?
Is Tom an actor?,टॉम काय अभिनेता आहे का?
Is Tom an actor?,टॉम एखादा अभिनेता आहे का?
Is Tom dreaming?,टॉम स्वप्न बघतोय का?
Is Tom prepared?,टॉम तयार आहे का?
Is Tom with you?,टॉम तुझ्याबरोबर आहे का?
Is Tom with you?,टॉम तुमच्याबरोबर आहे का?
Is anybody here?,कोणी आहे का?
Is anybody home?,घरी कोणी आहे का?
Is anyone there?,कोणी आहे का?
Is he a teacher?,तो शिक्षक आहे का?
Is he a teacher?,ते शिक्षक आहेत का?
Is he breathing?,तो श्वास घेतोय का?
Is he breathing?,ते श्वास घेताहेत का?
Is it dangerous?,धोकादायक आहे का?
Is it good news?,चांगली बातमी आहे का?
Is it that late?,तितका उशीर झाला आहे का?
Is it too salty?,खूपच खारट आहे का?
Is it too small?,खूपच छोटं आहे का?
Is it your bike?,तुझी बाईक आहे का?
Is it your bike?,तुझी बाईक आहे?
Is she Japanese?,ती जपानी आहे का?
Is she Japanese?,त्या जपानी आहेत का?
Is that a llama?,तो एक लामा आहे का?
Is that a llama?,तो लामा आहे का?
Is this a dream?,हे स्वप्न आहे का?
Is this a radio?,हा रेडिओ आहे का?
Is this my wine?,ही माझी वाईन आहे का?
Is today Friday?,आज शुक्रवार आहे का?
Is today Monday?,आज सोमवार आहे का?
Is today Monday?,आज सोमवार आहे?
Isn't Tom great?,"टॉम मस्त आहे, ना?"
It can't be Tom.,टॉम असू शकत नाही.
It could happen.,होऊ शकतं.
It doesn't hurt.,दुखत नाही.
It is seven now.,आता सात वाजले आहेत.
It took an hour.,एक तास लागला.
It was canceled.,ते रद्द केलं गेलं.
It was my dream.,माझं स्वप्न होतं.
It was my fault.,माझीच चूक होती.
It was my fault.,माझी चूक होती.
It was very hot.,खूप गरम होतं.
It would be fun.,मजा येईल.
It's a big city.,मोठं शहर आहे.
It's a big room.,मोठी खोली आहे.
It's a new book.,नवीन पुस्तक आहे.
It's a nice day.,चांगला दिवस आहे.
It's already 11.,आधीच ११ वाजले आहेत.
It's cold today.,आज थंड आहे.
It's fine today.,आज बरंय.
It's fine today.,आज बरं आहे.
It's going well.,बर्‍यापैकी चाललं आहे.
It's impossible.,अशक्य आहे.
It's just blood.,रक्तच आहे.
It's not Monday.,सोमवार नाहीये.
It's not a bomb.,बाँब नाहीये.
It's only blood.,रक्तच तर आहे.
It's very close.,अगदी जवळ आहे.
It's very dirty.,खूप अस्वच्छ आहे.
It's very dirty.,अगदी घाणेरडे आहे.
It's your fault.,चूक तुझी आहे.
It's your fault.,चूक तुमची आहे.
Just ignore Tom.,टॉमला दुर्लक्ष कर.
Just ignore Tom.,टॉमला दुर्लक्ष करा.
Keep Tom inside.,टॉमला आतमध्ये ठेव.
Keep Tom inside.,टॉमला आतमध्ये ठेवा.
Leave the TV on.,टीव्ही चालू ठेव.
Leave the TV on.,टीव्ही चालू ठेवा.
Leave the TV on.,टीव्ही चालूच ठेव.
Leave the TV on.,टीव्ही चालूच ठेवा.
Lemons are sour.,लिंबं आंबट असतात.
Let Tom go home.,टॉमला घरी जाऊ दे.
Let Tom go home.,टॉमला घरी जाऊ द्या.
Let me go first.,मला आधी जाऊ द्या.
Let me go first.,मला आधी जाऊ दे.
Let me help Tom.,मला टॉमची मदत करू द्या.
Let me help Tom.,मला टॉमची मदत करू दे.
Let me prove it.,मला सिद्ध करू द्या.
Let me prove it.,मला सिद्ध करू दे.
Let me see that.,मला बघू ते.
Let me see that.,बघू.
Let us sit down.,खाली बसू या.
Let us sit down.,आपण खाली बसू या.
Let us sit down.,चला आपण खाली बसू या.
Let's do it now.,आता करुया.
Let's do it now.,ते आता करुया.
Let's eat steak.,स्टेक खाऊ या.
Let's eat sushi.,सुशी खाऊ या.
Let's forget it.,विसरू या.
Let's go by bus.,चला बसने जाऊ या.
Let's go by bus.,चल बसने जाऊ या.
Let's go by bus.,बसने जाऊया.
Let's go by car.,चल गाडीने जाऊ या.
Let's go by car.,गाडीने जाऊया.
Let's go by car.,चला गाडीने जाऊ या.
Let's go listen.,जाऊन ऐकुया.
Let's rest here.,इथे आराम करू या.
Let's start now.,आता सुरुवात करू या.
Let's stay calm.,शांत राहू या.
Let's stop here.,येथे थांबू या.
Let's visit Tom.,टॉमला भेटायला जाऊ या.
Life is a dream.,आयुष्य हे एक स्वप्न आहे.
Life is strange.,आयुष्य विचित्र असतं.
Life is strange.,आयुष्य हे विचित्र असतं.
Look at the sky.,आकाशाकडे बघ.
Look at the sky.,आकाशाकडे बघा.
Look behind you.,तुझ्या पाठी बघ.
Look behind you.,तुमच्या पाठी बघा.
Look behind you.,पाठी बघ.
Look behind you.,पाठी बघा.
Look who's here.,बघ कोण आलंय.
Make it smaller.,अजून छोटं कर.
Make it smaller.,अजून छोटं बनवा.
Mary helped Tom.,मेरीने टॉमची मदत केली.
Mary is a model.,मेरी मॉडेल आहे.
Meet me at 2:30.,मला अडीचला भेट.
Meet me at 2:30.,मला अडीचला भेटा.
Merry Christmas!,नाताळच्या हार्दिक शुभेच्छा!
Mom has a fever.,आईला ताप आहे.
Money is needed.,पैश्याची गरज आहे.
My book is here.,माझं पुस्तक इथे आहे.
My book is here.,इथे माझं पुस्तक आहे.
My dog is white.,माझा कुत्रा पांढरा आहे.
My dog ran away.,माझा कुत्रा पळून गेला.
My father walks.,माझे वडील चालतात.
My father walks.,माझे बाबा चालतात.
My hat blew off.,माझी टोपी उडून गेली.
My house is big.,माझं घर मोठं आहे.
My throat hurts.,माझा घसा दुखतोय.
My throat hurts.,माझा घसा दुखत आहे.
My wife was mad.,माझी बायको रागावलेली होती.
My wife was mad.,माझी बायको वेडी होती.
Natto is sticky.,नात्तो चिकट असतं.
Never forget it.,कधीही विसरू नकोस.
Never forget it.,कधीही विसरू नका.
No one can tell.,कोणीही सांगू शकत नाही.
No one saw that.,ते कोणीच पाहिलं नाही.
No one was late.,कोणालाही उशीर झाला नाही.
Nobody likes me.,मी कोणालाच आवडत नाही.
Nobody was home.,घरी कोणी नव्हतं.
Nobody's around.,आजूबाजूला कोणी नाहीये.
Nobody's hungry.,कोणालाही भूक लागली नाहीये.
Only Tom stayed.,केवळ टॉम राहिला.
Only Tom stayed.,फक्त टॉम राहिला.
Open the bottle.,बाटली उघड.
Open the bottle.,बाटली उघडा.
Open the window.,खिडकी उघड.
Open the window.,खिडकी उघडा.
Open your mouth!,तोंड उघड!
Open your mouth!,तोंड उघडा!
Open your mouth!,तुझं तोंड उघड!
Open your mouth!,तुमचं तोंड उघडा!
Please take one.,प्लीज एक घ्या.
Please take one.,प्लीज एक घे.
Put on your hat.,टोपी घाल.
Put on your hat.,टोपी घाला.
Read this first.,पहिलं हे वाच.
Read this first.,आधी हे वाच.
Read this first.,आधी हे वाचा.
Rules are rules.,नियम म्हणजे नियम.
See you at five.,पाच वाजता भेटू.
See you at five.,पाचला भेटुया.
She disappeared.,ती गायब झाली.
She fell asleep.,ती झोपून गेली.
She fell asleep.,तिला झोप लागली.
She fell asleep.,त्या झोपून गेल्या.
She fell asleep.,त्यांना झोप लागली.
She forgave him.,तिने त्याला माफ केले.
She forgave him.,तिने त्यांना माफ केले.
She got up late.,ती उशीरा उठली.
She got up late.,त्या उशीरा उठल्या.
She had a radio.,तिच्याकडे रेडिओ होता.
She had a radio.,तिच्याकडे एक रेडिओ होता.
She is Japanese.,ती जपानी आहे.
She is Japanese.,त्या जपानी आहेत.
She is a doctor.,ती डॉक्टर आहे.
She is a doctor.,ती डॉक्टरीण आहे.
She is a singer.,ती गायिका आहे.
She is not tall.,ती उंच नाही आहे.
She isn't there.,ती तिथे नाहीये.
She looks young.,ती तरुण दिसते.
She looks young.,त्या तरुण दिसतात.
She never reads.,ती कधीच वाचत नाही.
She never reads.,ती कधी वाचतच नाही.
She never reads.,ती कधीही वाचत नाही.
She sounded mad.,ती रागवलेली वाटत होती.
She talks a lot.,ती भरपूर बोलते.
She talks a lot.,ती खूप बोलते.
She went inside.,ती आत गेली.
She went inside.,त्या आत गेल्या.
She woke him up.,तिने त्याला उठवले.
She woke him up.,तिने त्यांना उठवले.
She woke him up.,त्यांनी त्याला उठवले.
She woke him up.,त्यांनी त्यांना उठवले.
She worked hard.,तिने मेहनत केली.
She worked hard.,त्यांनी मेहनत केली.
She's assertive.,ती खंबीर आहे.
She's assertive.,त्या खंबीर आहेत.
Should I buy it?,विकत घेऊ का?
Sit up straight.,सरळ बस.
Sit up straight.,सरळ पाठ करून बस.
Sit up straight.,सरळ बसा.
Someone came in.,कोणीतरी आत आलं.
Spanish is easy.,स्पॅनिश सोपी आहे.
Stay in the car.,गाडीत रहा.
Stay in the car.,गाडीत थांब.
Stop that woman.,त्या बाईला थांबव.
Stop that woman.,त्या बाईला थांबवा.
Stop the engine.,इंजिन बंद कर.
Stop the engine.,इंजिन बंद करा.
Summer has come.,उन्हाळा आला आहे.
Teach me French.,मला फ्रेंच शिकव.
Teach me French.,मला फ्रेंच शिकवा.
Tell me a story.,मला गोष्ट सांग.
Tell me a story.,मला एक गोष्ट सांग.
Tell me a story.,मला गोष्ट सांगा.
Tell me a story.,मला एक गोष्ट सांगा.
Tell me who won.,कोण जिंकलं सांग.
Tell me who won.,कोण जिंकले ते सांग.
Tell me who won.,कोण जिंकलं ते सांगा.
That can happen.,तसं होऊ शकतं.
That car is his.,ती गाडी त्याची आहे.
That car is his.,ती गाडी त्यांची आहे.
That dog is big.,तो कुत्रा मोठा आहे.
That dog jumped.,त्या कुत्र्याने उडी मारली.
That is a table.,ते एक टेबल आहे.
That is a table.,ते टेबल आहे.
That is her car.,ती त्यांची गाडी आहे.
That is her car.,ती तिची गाडी आहे.
That is his car.,ती त्याची गाडी आहे.
That is his car.,ती त्यांची गाडी आहे.
That isn't good.,ते चांगलं नाहीये.
That man is Tom.,तो माणूस टॉम आहे.
That wasn't Tom.,तो टॉम नव्हता.
That's a church.,ते एक चर्च आहे.
That's a church.,ते चर्च आहे.
That's about it.,तेवढंच.
That's my dress.,तो माझा ड्रेस आहे.
That's my fault.,ती माझी चूक आहे.
That's my fault.,ती माझीच चूक आहे.
That's my purse.,ती माझी पर्स आहे.
That's old news.,ती जुनी बातमी आहे.
That's old news.,ती जुनी बातमी झाली.
That's the news.,तीच बातमी आहे.
That's your job.,ते तुझं काम आहे.
That's your job.,ते तुमचं काम आहे.
The bus is full.,बस भरली आहे.
The cat escaped.,मांजर सुटून पळाली.
The cat is lazy.,मांजर आळशी आहे.
The cup is full.,कप भरलं आहे.
The dog is mine.,कुत्रा माझा आहे.
The dog is ours.,कुत्रा आमचा आहे.
The dog is ours.,कुत्रा आपला आहे.
The door opened.,दरवाजा उघडला.
The lake is big.,तलाव मोठा आहे.
The leaves fell.,पानं पडली.
The leaves fell.,ती पानं पडली.
The light is on.,दिवा चालू आहे.
The light is on.,लाइट चालू आहे.
The net is huge.,जाळ प्रचंड आहे.
The pay is good.,पगार चांगला आहे.
The radar broke.,रडार बिघडला.
The room is hot.,ही खोली गरम आहे.
The sea is blue.,समुद्र निळा आहे.
The sea is blue.,समुद्र निळा असतो.
The soldier ran.,सैनिक धावला.
The soldier ran.,सैनिक पळाला.
The sun has set.,सूर्य मावळला आहे.
There was blood.,रक्त होतं.
There's no cure.,उपाय नाहीये.
There's no salt.,मीठ नाहीये.
These are fresh.,हे ताजे आहेत.
These are fresh.,ही ताजी आहेत.
These are fresh.,ह्या ताज्या आहेत.
They all talked.,ते सर्व बोलले.
They are actors.,ते अभिनेते आहेत.
They are actors.,त्या अभिनेत्या आहेत.
They are yellow.,ते पिवळे आहेत.
They are yellow.,त्या पिवळ्या आहेत.
They caught Tom.,त्यांनी टॉमला पकडलं.
They found this.,त्यांना हे सापडलं.
They hate women.,ते स्त्रियांचा तिरस्कार करतात.
They helped Tom.,त्यांनी टॉमची मदत केली.
They live there.,ते तिथे राहतात.
They live there.,त्या तिथे राहतात.
They look bored.,ते कंटाळलेले दिसताहेत.
They understood.,ते समजले.
They understood.,त्या समजल्या.
They were angry.,ते रागावलेले होते.
They were angry.,त्या रागावलेल्या होत्या.
They were ready.,ते तयार होते.
They were ready.,त्या तयार होत्या.
They were yours.,ते तुझे होते.
They were yours.,ते तुमचे होते.
They were yours.,त्या तुझे होत्या.
They were yours.,त्या तुमच्या होत्या.
They'll find us.,ते आपल्याला शोधून काढतील.
They'll find us.,ते आम्हाला शोधून काढतील.
They'll find us.,आपण त्यांना सापडू.
They'll find us.,आम्ही त्यांना सापडू.
They'll go away.,ते जातील.
They'll go away.,जे निघून जातील.
They'll help us.,ते आपली मदत करतील.
They'll help us.,ते आमची मदत करतील.
They'll help us.,त्या आपली मदत करतील.
They'll help us.,त्या आमची मदत करतील.
They'll kill me.,ते मला मारून टाकतील.
They'll kill me.,ते मला ठार मारतील.
They'll kill me.,त्या मला मारून टाकतील.
They'll kill me.,त्या मला ठार मारतील.
They're Russian.,ते रशियन आहेत.
They're Russian.,त्या रशियन आहेत.
They're dancing.,ते नाचताहेत.
They're dancing.,त्या नाचताहेत.
They're leaving.,ते निघताहेत.
They're leaving.,ते निघत आहेत.
They're leaving.,त्या निघताहेत.
They're leaving.,त्या निघत आहेत.
They're orphans.,ते अनाथ आहेत.
They're orphans.,त्या अनाथ आहेत.
They're outside.,ते बाहेर आहेत.
They're outside.,त्या बाहेर आहेत.
They're sisters.,त्या बहिणी आहेत.
They're trapped.,ते फसलेयत.
They're trapped.,ते अडकलेयत.
They're useless.,ते बेकार आहेत.
This book's new.,हे पुस्तक नवीन आहे.
This is a dream.,हे एक स्वप्न आहे.
This is a dream.,हे स्वप्न आहे.
This is a dream.,हे तर स्वप्न आहे.
This is a horse.,हा घोडा आहे.
This is a horse.,हा एक घोडा आहे.
This is a knife.,ही सुरी आहे.
This is a knife.,ही एक सुरी आहे.
This is a spoon.,हा एक चमचा आहे.
This is foolish.,हा मूर्खपणा आहे.
This is for you.,हे तुमच्यासाठी आहे.
This is for you.,हे तुझ्यासाठी.
This is for you.,हे तुझ्यासाठी आहे.
This is for you.,हे तुमच्यासाठी.
This is his car.,ही त्याची गाडी आहे.
This is illegal.,हे बेकायदेशीर आहे.
This is my baby.,हे माझं बाळ आहे.
This is my beer.,ही माझी बियर आहे.
This is my book.,हे माझं पुस्तक आहे.
This is my song.,हे माझं गाणं आहे.
This is my wine.,ही माझी वाईन आहे.
This is obscene.,हे अश्लील आहे.
This is our bag.,ही आमची बॅग आहे.
This is our bag.,ही आपली बॅग आहे.
This is our bag.,ही आमची पिशवी आहे.
This is our bag.,ही आपली पिशवी आहे.
This is serious.,हे गंभीर आहे.
This is so easy.,हे किती सोपं आहे.
This is the boy.,हाच तो मुलगा.
This isn't hard.,हे कठीण नाहीये.
This isn't real.,हे खरं नाहीये.
Those are Tom's.,ते टॉमचे आहेत.
Those are Tom's.,ती टॉमची आहेत.
Those are Tom's.,त्या टॉमच्या आहेत.
Today is Monday.,आज सोमवार आहे.
Tom attacked me.,टॉमने माझ्यावर हल्ला केला.
Tom became calm.,टॉम शांत झाला.
Tom betrayed me.,टॉमने माझा विश्वासघात केला.
Tom betrayed us.,टॉमने आपला विश्वासघात केला.
Tom betrayed us.,टॉमने आमचा विश्वासघात केला.
Tom can help me.,टॉम माझी मदत करू शकतो.
Tom can't drive.,टॉमला चालवता येत नाही.
Tom can't drive.,टॉम चालवू शकत नाही.
Tom cried a lot.,टॉम खूप रडला.
Tom did his job.,टॉमने त्याचं काम केलं.
Tom didn't come.,टॉम आला नाही.
Tom didn't come.,टॉम नाही आला.
Tom didn't fall.,टॉम पडला नाही.
Tom didn't know.,टॉमला माहीत नव्हतं.
Tom didn't know.,टॉमला ठाऊक नव्हतं.
Tom didn't pass.,टॉम पास झाला नाही.
Tom didn't pray.,टॉमने प्रार्थना केली नाही.
Tom disappeared.,टॉम गायब झाला.
Tom disappeared.,टॉम दिसेनासा झाला.
Tom drinks wine.,टॉम वाईन पितो.
Tom eats slowly.,टॉम हळूहळू खातो.
Tom fed his dog.,टॉमने आपल्या कुत्र्याला भरवलं.
Tom felt better.,टॉमला बरं वाटलं.
Tom got changed.,टॉमने कपडे बदलले.
Tom got dressed.,टॉमने कपडे घातले.
Tom had nothing.,टॉमकडे काहीही नव्हतं.
Tom had nothing.,टॉमकडे काहीच नव्हतं.
Tom had nothing.,टॉमकडे काही नव्हतं.
Tom had to stop.,टॉमला थांबावं लागलं.
Tom has a beard.,टॉमला दाढी आहे.
Tom has a cough.,टॉमला खोकला झाला आहे.
Tom has a fever.,टॉमला ताप आला आहे.
Tom has a horse.,टॉमकडे एक घोडा आहे.
Tom has a horse.,टॉमकडे घोडा आहे.
Tom has a piano.,टॉमकडे पियानो आहे.
Tom has a piano.,टॉमकडे एक पियानो आहे.
Tom has a radio.,टॉमकडे रेडिओ आहे.
Tom has left us.,टॉम आपल्याला सोडून गेला आहे.
Tom has left us.,टॉम आम्हाला सोडून गेला आहे.
Tom has my book.,टॉमकडे माझं पुस्तक आहे.
Tom has rabbits.,टॉमकडे ससे आहेत.
Tom has the key.,चावी टॉमकडे आहे.
Tom insulted me.,टॉमने माझा अपमान केला.
Tom is Canadian.,टॉम कॅनेडियन आहे.
Tom is a Cancer.,टॉम कर्क राशीचा आहे.
Tom is a Muslim.,टॉम मुस्लिम आहे.
Tom is a Muslim.,टॉम मुसलमान आहे.
Tom is a bowler.,टॉम गोलंदाज आहे.
Tom is a cyborg.,टॉम सायबॉर्ग आहे.
Tom is a doctor.,टॉम डॉक्टर आहे.
Tom is a doctor.,टॉम वैद्य आहे.
Tom is a farmer.,टॉम शेतकरी आहे.
Tom is a golfer.,टॉम गोल्फपटू आहे.
Tom is a killer.,टॉम खुनी आहे.
Tom is a lawyer.,टॉम वकील आहे.
Tom is a lawyer.,टॉम एक वकील आहे.
Tom is a madman.,टॉम वेडा माणूस आहे.
Tom is a member.,टॉम सदस्य आहे.
Tom is a priest.,टॉम पाद्री आहे.
Tom is a priest.,टॉम पुरोहित आहे.
Tom is a rapper.,टॉम रॅपर आहे.
Tom is a singer.,टॉम गायक आहे.
Tom is a writer.,टॉम लेखक आहे.
Tom is after me.,टॉम माझ्या पाठी लागलाय.
Tom is an actor.,टॉम अभिनेता आहे.
Tom is an actor.,टॉम एक अभिनेता आहे.
Tom is confused.,टॉम गोंधळलेला आहे.
Tom is cultured.,टॉम सुसंस्कृत आहे.
Tom is dreaming.,टॉम स्वप्न बघतोय.
Tom is fine now.,टॉम आता बरा आहे.
Tom is laughing.,टॉम हसतोय.
Tom is learning.,टॉम शिकतो आहे.
Tom is my uncle.,टॉम माझा मामा आहे.
Tom is my uncle.,टॉम माझा काका आहे.
Tom is painting.,टॉम रंगवतोय.
Tom is sneezing.,टॉम शिंकतोय.
Tom is standing.,टॉम उभा आहे.
Tom is very old.,टॉम खूप म्हातारा आहे.
Tom is very shy.,टॉम अतिशय लाजाळू आहे.
Tom isn't alone.,टॉम एकटा नाहीये.
Tom isn't dying.,टॉम मरत नाहीये.
Tom isn't naked.,टॉम नागडा नाही आहे.
Tom isn't there.,टॉम तिथे नाहीये.
Tom isn't weird.,टॉम विचित्र नाहीये.
Tom kept trying.,टॉमने प्रयत्न चालू ठेवले.
Tom kept trying.,टॉम प्रयत्न करत राहिला.
Tom kicked Mary.,टॉमने मेरीला लाथ मारली.
Tom knows a lot.,टॉमला भरपूर काही माहिती आहे.
Tom likes chess.,टॉमला बुद्धिबळ आवडतो.
Tom likes games.,टॉमला खेळ आवडतात.
Tom likes games.,टॉमला गेम आवडतात.
Tom lit a match.,टॉमने एक माचिस पेटवली.
Tom lives there.,तिथे टॉम राहतो.
Tom lives there.,टॉम तिथे राहतो.
Tom looks bored.,टॉम कंटाळलेला दिसतोय.
Tom looks young.,टॉम तरुण दिसतो.
Tom made a list.,टॉमने यादी बनवली.
Tom made a list.,टॉमने एक यादी बनवली.
Tom made coffee.,टॉमने कॉफी बनवली.
Tom misses Mary.,टॉमला मेरीची आठवण येते.
Tom must be out.,टॉम बाहेर गेला असेल.
Tom needed this.,टॉमला याची गरज होती.
Tom needed time.,टॉमला वेळेची गरज होती.
Tom never cried.,टॉम कधीच रडला नाही.
Tom never falls.,टॉम कधीही पडत नाही.
Tom never reads.,टॉम कधीच वाचत नाही.
Tom never stops.,टॉम कधीही थांबत नाही.
Tom passed away.,टॉम वारला.
Tom phoned Mary.,टॉमने मेरीला फोन केला.
Tom plays chess.,टॉम बुद्धिबळ खेळतो.
Tom quit school.,टॉमने शाळा सोडून दिली.
Tom saw a ghost.,टॉमला एक भूत दिसलं.
Tom saw a snake.,टॉमने एक साप पाहिला.
Tom saw a snake.,टॉमला एक साप दिसला.
Tom saw the cat.,टॉमने मांजर पाहिली.
Tom saw the cat.,टॉमने मांजर बघितली.
Tom saw the cat.,टॉमला मांजर दिसली.
Tom saw the cat.,टॉमने बोका पाहिला.
Tom saw the cat.,टॉमने बोका बघितला.
Tom saw the cat.,टॉमला बोका दिसला.
Tom seems bored.,टॉम कंटाळलेला वाटतोय.
Tom stood alone.,टॉम एकटा उभा राहिला.
Tom took my car.,टॉमने माझी गाडी घेतली.
Tom trusts Mary.,टॉमचा मेरीवर विश्वास आहे.
Tom understands.,टॉमला समजतं.
Tom walked home.,टॉम चालत घरी गेला.
Tom wanted Mary.,टॉमला मेरी हवी होती.
Tom wanted more.,टॉमला अजून हवं होतं.
Tom wanted more.,टॉमला अजून हवी होती.
Tom wanted more.,टॉमला अजून हवा होता.
Tom wants to go.,टॉमला जायचं आहे.
Tom was at home.,टॉम घरी होता.
Tom was elderly.,टॉम वयस्कर होता.
Tom was injured.,टॉम जखमी होता.
Tom was leaving.,टॉम निघत होता.
Tom was like me.,टॉम माझ्यासारखा होता.
Tom was popular.,टॉम लोकप्रिय होता.
Tom was talking.,टॉम बोलत होता.
Tom was the one.,तो टॉमच होता.
Tom wasn't bald.,टॉम टकलू नव्हता.
Tom wasn't rich.,टॉम श्रीमंत नव्हता.
Tom wasn't sick.,टॉम आजारी नव्हता.
Tom went inside.,टॉम आत गेला.
Tom will decide.,टॉम ठरवेल.
Tom will decide.,टॉम निर्णय घेईल.
Tom will scream.,टॉम किंचाळेल.
Tom worked hard.,टॉमने मेहनत केली.
Tom works a lot.,टॉम खूप काम करतो.
Tom works alone.,टॉम एकट्याने काम करतो.
Tom writes well.,टॉम बर्‍यापैकी लिहितो.
Tom's my nephew.,टॉम माझा भाचा आहे.
"Tom, I'm hungry.","टॉम, मला भूक लागली आहे."
Turn off the TV.,टीव्ही बंद कर.
Turn off the TV.,टीव्ही बंद करा.
Turn on the gas.,गॅस चालू कर.
Turn on the gas.,गॅस चालू करा.
Watch carefully.,नीट बघ.
Watch carefully.,नीट बघा.
Watch your step.,पाय सांभाळ.
Watch your step.,पाय सांभाळा.
Watch your step.,लक्ष देऊन चाला.
Watch your step.,लक्ष देऊन चाल.
We all know Tom.,टॉमला आम्ही सर्व ओळखतो.
